,true_label,predicted_label,predict_vote,max_count
0,6,5,"[14.0, 24.0, 26.0, 12.0, 24.0]",26
1,6,6,"[21.0, 14.0, 20.0, 27.0, 18.0]",27
2,6,5,"[16.0, 19.0, 24.0, 24.0, 17.0]",24
3,5,5,"[21.0, 15.0, 25.0, 25.0, 14.0]",25
4,7,5,"[16.0, 7.0, 38.0, 26.0, 13.0]",38
5,5,4,"[20.0, 28.0, 25.0, 13.0, 14.0]",28
6,7,2,"[25.0, 20.0, 18.0, 20.0, 17.0]",25
7,6,6,"[16.0, 24.0, 19.0, 26.0, 15.0]",26
8,7,5,"[13.0, 28.0, 29.0, 17.0, 13.0]",29
9,4,6,"[15.0, 20.0, 13.0, 29.0, 23.0]",29
10,5,2,"[31.0, 25.0, 18.0, 12.0, 14.0]",31
11,2,6,"[19.0, 20.0, 12.0, 28.0, 21.0]",28
12,4,4,"[21.0, 24.0, 15.0, 20.0, 20.0]",24
13,6,2,"[27.0, 21.0, 17.0, 19.0, 16.0]",27
14,6,4,"[21.0, 24.0, 17.0, 21.0, 17.0]",24
15,5,2,"[23.0, 18.0, 23.0, 16.0, 20.0]",23
16,4,5,"[24.0, 19.0, 27.0, 19.0, 11.0]",27
17,5,2,"[33.0, 17.0, 16.0, 15.0, 19.0]",33
18,2,5,"[21.0, 16.0, 25.0, 22.0, 16.0]",25
19,4,2,"[25.0, 20.0, 19.0, 17.0, 19.0]",25
20,5,5,"[19.0, 18.0, 32.0, 17.0, 14.0]",32
21,4,4,"[23.0, 26.0, 11.0, 21.0, 19.0]",26
22,6,2,"[32.0, 19.0, 14.0, 19.0, 16.0]",32
23,5,7,"[23.0, 18.0, 21.0, 14.0, 24.0]",24
24,6,6,"[22.0, 26.0, 13.0, 27.0, 12.0]",27
25,7,2,"[25.0, 19.0, 16.0, 19.0, 21.0]",25
26,6,6,"[20.0, 21.0, 20.0, 23.0, 16.0]",23
27,7,5,"[20.0, 11.0, 25.0, 22.0, 22.0]",25
28,7,6,"[24.0, 12.0, 21.0, 30.0, 13.0]",30
29,4,5,"[17.0, 21.0, 23.0, 17.0, 22.0]",23
30,6,5,"[27.0, 19.0, 33.0, 13.0, 8.0]",33
31,7,2,"[25.0, 22.0, 19.0, 16.0, 18.0]",25
32,6,2,"[25.0, 23.0, 17.0, 14.0, 21.0]",25
33,6,6,"[24.0, 19.0, 12.0, 25.0, 20.0]",25
34,2,4,"[23.0, 27.0, 19.0, 17.0, 14.0]",27
35,2,2,"[26.0, 23.0, 20.0, 11.0, 20.0]",26
36,7,2,"[30.0, 21.0, 24.0, 14.0, 11.0]",30
37,2,2,"[36.0, 17.0, 17.0, 15.0, 15.0]",36
38,6,6,"[17.0, 19.0, 20.0, 22.0, 22.0]",22
39,2,4,"[22.0, 27.0, 14.0, 16.0, 21.0]",27
40,7,4,"[24.0, 27.0, 19.0, 13.0, 17.0]",27
41,2,2,"[37.0, 27.0, 12.0, 11.0, 13.0]",37
42,5,7,"[22.0, 19.0, 18.0, 12.0, 29.0]",29
43,2,4,"[18.0, 24.0, 24.0, 18.0, 16.0]",24
44,7,2,"[27.0, 20.0, 22.0, 13.0, 18.0]",27
45,6,2,"[26.0, 11.0, 21.0, 21.0, 21.0]",26
46,4,5,"[10.0, 17.0, 27.0, 20.0, 26.0]",27
