,true_label,predicted_label,predict_vote,max_count
0,6,5,"[23.0, 13.0, 26.0, 23.0, 15.0]",26
1,6,5,"[18.0, 17.0, 23.0, 21.0, 21.0]",23
2,6,4,"[16.0, 25.0, 17.0, 23.0, 19.0]",25
3,5,7,"[18.0, 16.0, 21.0, 20.0, 25.0]",25
4,7,7,"[18.0, 7.0, 24.0, 25.0, 26.0]",26
5,5,5,"[14.0, 13.0, 28.0, 23.0, 22.0]",28
6,7,7,"[15.0, 18.0, 18.0, 20.0, 29.0]",29
7,6,7,"[22.0, 18.0, 23.0, 12.0, 25.0]",25
8,7,7,"[24.0, 19.0, 16.0, 16.0, 25.0]",25
9,4,2,"[31.0, 14.0, 22.0, 15.0, 18.0]",31
10,5,6,"[21.0, 19.0, 13.0, 29.0, 18.0]",29
11,2,4,"[20.0, 23.0, 22.0, 14.0, 21.0]",23
12,4,7,"[19.0, 15.0, 25.0, 11.0, 30.0]",30
13,6,7,"[23.0, 20.0, 22.0, 9.0, 26.0]",26
14,6,7,"[17.0, 16.0, 23.0, 18.0, 26.0]",26
15,5,2,"[38.0, 15.0, 20.0, 12.0, 15.0]",38
16,4,5,"[18.0, 18.0, 31.0, 15.0, 18.0]",31
17,5,7,"[23.0, 22.0, 14.0, 12.0, 29.0]",29
18,2,5,"[16.0, 16.0, 26.0, 17.0, 25.0]",26
19,4,5,"[21.0, 20.0, 24.0, 17.0, 18.0]",24
20,5,4,"[17.0, 23.0, 20.0, 23.0, 17.0]",23
21,4,5,"[14.0, 18.0, 28.0, 16.0, 24.0]",28
22,6,2,"[27.0, 19.0, 16.0, 17.0, 21.0]",27
23,5,5,"[26.0, 16.0, 30.0, 14.0, 14.0]",30
24,6,7,"[12.0, 18.0, 23.0, 23.0, 24.0]",24
25,7,5,"[18.0, 19.0, 23.0, 20.0, 20.0]",23
26,6,7,"[17.0, 15.0, 22.0, 13.0, 33.0]",33
27,7,5,"[17.0, 20.0, 35.0, 17.0, 11.0]",35
28,7,2,"[27.0, 15.0, 19.0, 24.0, 15.0]",27
29,4,4,"[12.0, 28.0, 23.0, 15.0, 22.0]",28
30,6,5,"[17.0, 19.0, 25.0, 21.0, 18.0]",25
31,7,5,"[19.0, 18.0, 27.0, 13.0, 23.0]",27
32,6,6,"[23.0, 19.0, 16.0, 29.0, 13.0]",29
33,6,2,"[25.0, 18.0, 22.0, 17.0, 18.0]",25
34,2,5,"[21.0, 17.0, 28.0, 15.0, 19.0]",28
35,2,5,"[19.0, 18.0, 26.0, 17.0, 20.0]",26
36,7,5,"[22.0, 14.0, 26.0, 12.0, 26.0]",26
37,2,5,"[16.0, 24.0, 25.0, 12.0, 23.0]",25
38,6,4,"[15.0, 29.0, 19.0, 20.0, 17.0]",29
39,2,6,"[17.0, 21.0, 17.0, 23.0, 22.0]",23
40,7,2,"[28.0, 24.0, 28.0, 10.0, 10.0]",28
41,2,2,"[24.0, 19.0, 23.0, 13.0, 21.0]",24
42,5,7,"[22.0, 18.0, 17.0, 16.0, 27.0]",27
43,2,2,"[28.0, 16.0, 20.0, 17.0, 19.0]",28
44,7,2,"[27.0, 20.0, 25.0, 12.0, 16.0]",27
45,6,2,"[21.0, 21.0, 17.0, 21.0, 20.0]",21
46,4,6,"[20.0, 19.0, 14.0, 24.0, 23.0]",24
47,6,5,"[15.0, 15.0, 27.0, 19.0, 24.0]",27
48,6,2,"[26.0, 19.0, 15.0, 20.0, 20.0]",26
49,7,2,"[23.0, 20.0, 17.0, 21.0, 19.0]",23
50,4,4,"[24.0, 25.0, 21.0, 12.0, 18.0]",25
51,5,5,"[21.0, 16.0, 30.0, 13.0, 20.0]",30
52,6,5,"[22.0, 11.0, 31.0, 27.0, 9.0]",31
53,6,4,"[23.0, 24.0, 21.0, 17.0, 15.0]",24
54,7,5,"[7.0, 14.0, 37.0, 20.0, 22.0]",37
55,4,4,"[11.0, 28.0, 27.0, 20.0, 14.0]",28
56,6,2,"[25.0, 17.0, 20.0, 20.0, 18.0]",25
57,2,5,"[23.0, 22.0, 26.0, 12.0, 17.0]",26
58,4,2,"[24.0, 19.0, 22.0, 14.0, 21.0]",24
59,2,6,"[24.0, 14.0, 19.0, 26.0, 17.0]",26
60,7,7,"[16.0, 14.0, 24.0, 16.0, 30.0]",30
61,2,7,"[23.0, 23.0, 17.0, 13.0, 24.0]",24
62,5,5,"[18.0, 18.0, 31.0, 7.0, 26.0]",31
63,2,4,"[18.0, 26.0, 21.0, 17.0, 18.0]",26
64,4,2,"[30.0, 23.0, 19.0, 12.0, 16.0]",30
65,2,5,"[26.0, 17.0, 30.0, 10.0, 17.0]",30
66,7,7,"[21.0, 20.0, 15.0, 12.0, 32.0]",32
67,2,6,"[18.0, 13.0, 24.0, 28.0, 17.0]",28
68,6,2,"[23.0, 16.0, 23.0, 18.0, 20.0]",23
69,5,5,"[22.0, 15.0, 25.0, 22.0, 16.0]",25
70,6,2,"[28.0, 11.0, 22.0, 18.0, 21.0]",28
71,7,5,"[22.0, 19.0, 26.0, 10.0, 23.0]",26
72,6,5,"[21.0, 18.0, 22.0, 21.0, 18.0]",22
73,2,5,"[14.0, 15.0, 35.0, 18.0, 18.0]",35
74,5,5,"[11.0, 18.0, 30.0, 29.0, 12.0]",30
75,2,5,"[22.0, 4.0, 33.0, 24.0, 17.0]",33
76,6,2,"[25.0, 25.0, 20.0, 18.0, 12.0]",25
77,5,5,"[19.0, 18.0, 25.0, 22.0, 16.0]",25
78,2,2,"[28.0, 24.0, 19.0, 7.0, 22.0]",28
79,5,4,"[21.0, 24.0, 18.0, 14.0, 23.0]",24
80,4,5,"[21.0, 20.0, 25.0, 21.0, 13.0]",25
81,2,2,"[23.0, 22.0, 22.0, 11.0, 22.0]",23
82,6,2,"[28.0, 15.0, 16.0, 19.0, 22.0]",28
83,6,2,"[27.0, 14.0, 20.0, 16.0, 23.0]",27
84,4,2,"[25.0, 16.0, 25.0, 16.0, 18.0]",25
85,4,6,"[20.0, 15.0, 20.0, 25.0, 20.0]",25
86,5,4,"[24.0, 27.0, 19.0, 16.0, 14.0]",27
87,7,2,"[25.0, 13.0, 25.0, 18.0, 19.0]",25
88,5,5,"[18.0, 17.0, 26.0, 16.0, 23.0]",26
89,5,2,"[29.0, 19.0, 22.0, 16.0, 14.0]",29
90,2,7,"[18.0, 17.0, 20.0, 18.0, 27.0]",27
91,2,2,"[27.0, 15.0, 21.0, 16.0, 21.0]",27
92,6,6,"[22.0, 20.0, 21.0, 26.0, 11.0]",26
93,4,2,"[28.0, 16.0, 25.0, 14.0, 17.0]",28
94,5,7,"[20.0, 18.0, 21.0, 18.0, 23.0]",23
95,7,2,"[25.0, 17.0, 16.0, 17.0, 25.0]",25
96,2,4,"[19.0, 26.0, 19.0, 10.0, 26.0]",26
97,7,5,"[14.0, 17.0, 41.0, 2.0, 26.0]",41
98,5,7,"[23.0, 17.0, 16.0, 18.0, 26.0]",26
99,7,2,"[29.0, 19.0, 15.0, 8.0, 29.0]",29
100,5,4,"[19.0, 26.0, 21.0, 20.0, 14.0]",26
101,7,5,"[18.0, 19.0, 24.0, 15.0, 24.0]",24
102,7,5,"[22.0, 16.0, 28.0, 7.0, 27.0]",28
103,4,7,"[24.0, 13.0, 14.0, 16.0, 33.0]",33
104,5,4,"[21.0, 22.0, 21.0, 15.0, 21.0]",22
105,7,2,"[30.0, 12.0, 29.0, 11.0, 18.0]",30
106,2,7,"[22.0, 21.0, 20.0, 12.0, 25.0]",25
107,7,7,"[25.0, 24.0, 15.0, 10.0, 26.0]",26
108,6,5,"[16.0, 23.0, 29.0, 16.0, 16.0]",29
109,4,5,"[25.0, 14.0, 37.0, 12.0, 12.0]",37
110,6,7,"[23.0, 14.0, 18.0, 19.0, 26.0]",26
111,4,2,"[22.0, 20.0, 21.0, 17.0, 20.0]",22
112,7,2,"[25.0, 15.0, 25.0, 14.0, 21.0]",25
113,6,2,"[33.0, 18.0, 14.0, 8.0, 27.0]",33
114,5,5,"[21.0, 14.0, 23.0, 21.0, 21.0]",23
115,5,5,"[22.0, 15.0, 25.0, 13.0, 25.0]",25
116,4,2,"[28.0, 23.0, 16.0, 14.0, 19.0]",28
117,5,5,"[23.0, 19.0, 29.0, 17.0, 12.0]",29
118,5,4,"[23.0, 27.0, 15.0, 13.0, 22.0]",27
119,2,2,"[24.0, 14.0, 22.0, 19.0, 21.0]",24
120,2,6,"[23.0, 7.0, 25.0, 31.0, 14.0]",31
121,5,2,"[27.0, 17.0, 22.0, 9.0, 25.0]",27
122,4,2,"[29.0, 15.0, 16.0, 15.0, 25.0]",29
123,5,5,"[15.0, 17.0, 32.0, 11.0, 25.0]",32
124,7,6,"[22.0, 16.0, 16.0, 29.0, 17.0]",29
125,2,7,"[20.0, 17.0, 17.0, 13.0, 33.0]",33
126,4,6,"[16.0, 21.0, 12.0, 28.0, 23.0]",28
127,7,7,"[16.0, 14.0, 24.0, 19.0, 27.0]",27
128,2,2,"[26.0, 21.0, 19.0, 15.0, 19.0]",26
129,6,7,"[23.0, 17.0, 17.0, 19.0, 24.0]",24
130,5,2,"[27.0, 17.0, 19.0, 15.0, 22.0]",27
131,4,2,"[25.0, 21.0, 19.0, 17.0, 18.0]",25
132,6,2,"[30.0, 20.0, 17.0, 9.0, 24.0]",30
