,true_label,predicted_label,predict_vote,max_count
0,6,4,"[18.0, 29.0, 18.0, 20.0, 15.0]",29
1,6,6,"[13.0, 22.0, 15.0, 35.0, 15.0]",35
2,6,2,"[26.0, 26.0, 11.0, 22.0, 15.0]",26
3,5,4,"[16.0, 28.0, 17.0, 26.0, 13.0]",28
4,7,6,"[20.0, 9.0, 15.0, 44.0, 12.0]",44
5,5,5,"[19.0, 18.0, 31.0, 23.0, 9.0]",31
6,7,4,"[24.0, 26.0, 14.0, 18.0, 18.0]",26
7,6,6,"[20.0, 16.0, 18.0, 36.0, 10.0]",36
8,7,4,"[21.0, 27.0, 17.0, 18.0, 17.0]",27
9,4,2,"[27.0, 21.0, 18.0, 24.0, 10.0]",27
10,5,4,"[26.0, 27.0, 21.0, 15.0, 11.0]",27
11,2,2,"[28.0, 23.0, 14.0, 27.0, 8.0]",28
12,4,4,"[24.0, 29.0, 11.0, 16.0, 20.0]",29
13,6,6,"[24.0, 16.0, 19.0, 31.0, 10.0]",31
14,6,5,"[19.0, 21.0, 24.0, 22.0, 14.0]",24
15,5,4,"[27.0, 28.0, 14.0, 14.0, 17.0]",28
16,4,4,"[14.0, 28.0, 23.0, 27.0, 8.0]",28
17,5,4,"[19.0, 24.0, 18.0, 16.0, 23.0]",24
18,2,2,"[25.0, 22.0, 22.0, 18.0, 13.0]",25
19,4,6,"[23.0, 22.0, 13.0, 24.0, 18.0]",24
20,5,4,"[23.0, 26.0, 21.0, 22.0, 8.0]",26
21,4,2,"[29.0, 27.0, 12.0, 14.0, 18.0]",29
22,6,2,"[27.0, 18.0, 13.0, 24.0, 18.0]",27
23,5,2,"[24.0, 19.0, 24.0, 18.0, 15.0]",24
24,6,6,"[15.0, 21.0, 17.0, 24.0, 23.0]",24
25,7,2,"[22.0, 20.0, 15.0, 21.0, 22.0]",22
26,6,6,"[19.0, 22.0, 16.0, 27.0, 16.0]",27
27,7,4,"[19.0, 23.0, 18.0, 23.0, 17.0]",23
28,7,6,"[26.0, 19.0, 8.0, 40.0, 7.0]",40
29,4,2,"[29.0, 23.0, 14.0, 25.0, 9.0]",29
30,6,4,"[18.0, 27.0, 20.0, 16.0, 19.0]",27
31,7,4,"[22.0, 30.0, 16.0, 8.0, 24.0]",30
32,6,6,"[18.0, 16.0, 15.0, 36.0, 15.0]",36
33,6,6,"[18.0, 19.0, 18.0, 26.0, 19.0]",26
34,2,6,"[17.0, 16.0, 19.0, 31.0, 17.0]",31
35,2,4,"[23.0, 27.0, 16.0, 13.0, 21.0]",27
36,7,6,"[21.0, 19.0, 12.0, 34.0, 14.0]",34
37,2,2,"[33.0, 15.0, 13.0, 22.0, 17.0]",33
38,6,6,"[17.0, 24.0, 17.0, 27.0, 15.0]",27
39,2,7,"[16.0, 20.0, 20.0, 21.0, 23.0]",23
40,7,4,"[23.0, 24.0, 19.0, 22.0, 12.0]",24
41,2,2,"[37.0, 24.0, 17.0, 17.0, 5.0]",37
42,5,2,"[28.0, 21.0, 20.0, 12.0, 19.0]",28
43,2,5,"[24.0, 13.0, 26.0, 23.0, 14.0]",26
44,7,2,"[28.0, 20.0, 26.0, 16.0, 10.0]",28
45,6,2,"[25.0, 21.0, 18.0, 22.0, 14.0]",25
46,4,6,"[15.0, 18.0, 17.0, 36.0, 14.0]",36
47,6,2,"[22.0, 20.0, 21.0, 20.0, 17.0]",22
48,6,6,"[23.0, 24.0, 11.0, 25.0, 17.0]",25
49,7,4,"[23.0, 28.0, 17.0, 25.0, 7.0]",28
50,4,4,"[18.0, 32.0, 14.0, 22.0, 14.0]",32
51,5,4,"[17.0, 26.0, 15.0, 18.0, 24.0]",26
52,6,5,"[14.0, 11.0, 33.0, 33.0, 9.0]",33
53,6,6,"[14.0, 16.0, 21.0, 38.0, 11.0]",38
54,7,6,"[9.0, 11.0, 26.0, 36.0, 18.0]",36
55,4,6,"[24.0, 16.0, 15.0, 30.0, 15.0]",30
56,6,4,"[24.0, 25.0, 14.0, 25.0, 12.0]",25
57,2,2,"[33.0, 20.0, 14.0, 15.0, 18.0]",33
58,4,2,"[27.0, 16.0, 16.0, 25.0, 16.0]",27
59,2,4,"[23.0, 28.0, 8.0, 24.0, 17.0]",28
60,7,4,"[10.0, 33.0, 16.0, 23.0, 18.0]",33
61,2,4,"[18.0, 28.0, 15.0, 13.0, 26.0]",28
62,5,4,"[15.0, 32.0, 19.0, 5.0, 29.0]",32
63,2,6,"[21.0, 23.0, 18.0, 26.0, 12.0]",26
64,4,2,"[31.0, 22.0, 19.0, 15.0, 13.0]",31
65,2,6,"[24.0, 23.0, 13.0, 30.0, 10.0]",30
66,7,4,"[15.0, 30.0, 15.0, 28.0, 12.0]",30
