,true_label,predicted_label,predict_vote,max_count
0,6,2,"[24.0, 19.0, 23.0, 19.0, 15.0]",24
1,6,2,"[23.0, 21.0, 13.0, 23.0, 20.0]",23
2,6,2,"[34.0, 19.0, 15.0, 18.0, 14.0]",34
3,5,5,"[22.0, 19.0, 25.0, 16.0, 18.0]",25
4,7,6,"[14.0, 15.0, 30.0, 38.0, 3.0]",38
5,5,5,"[15.0, 19.0, 25.0, 20.0, 21.0]",25
6,7,4,"[18.0, 23.0, 20.0, 20.0, 19.0]",23
7,6,6,"[23.0, 24.0, 15.0, 30.0, 8.0]",30
8,7,2,"[25.0, 19.0, 18.0, 21.0, 17.0]",25
9,4,5,"[22.0, 17.0, 24.0, 23.0, 14.0]",24
10,5,2,"[30.0, 21.0, 13.0, 14.0, 22.0]",30
11,2,6,"[21.0, 18.0, 20.0, 28.0, 13.0]",28
12,4,2,"[24.0, 17.0, 19.0, 18.0, 22.0]",24
13,6,2,"[27.0, 24.0, 17.0, 19.0, 13.0]",27
14,6,2,"[24.0, 21.0, 15.0, 22.0, 18.0]",24
15,5,4,"[19.0, 26.0, 24.0, 14.0, 17.0]",26
16,4,2,"[30.0, 23.0, 22.0, 15.0, 10.0]",30
17,5,4,"[23.0, 27.0, 14.0, 16.0, 20.0]",27
18,2,2,"[23.0, 20.0, 19.0, 23.0, 15.0]",23
19,4,4,"[17.0, 25.0, 18.0, 22.0, 18.0]",25
20,5,4,"[20.0, 23.0, 15.0, 19.0, 23.0]",23
21,4,6,"[18.0, 18.0, 18.0, 25.0, 21.0]",25
22,6,4,"[22.0, 23.0, 15.0, 23.0, 17.0]",23
23,5,2,"[22.0, 16.0, 22.0, 21.0, 19.0]",22
24,6,2,"[27.0, 21.0, 16.0, 13.0, 23.0]",27
25,7,2,"[31.0, 15.0, 24.0, 18.0, 12.0]",31
26,6,2,"[34.0, 22.0, 12.0, 15.0, 17.0]",34
27,7,5,"[16.0, 18.0, 26.0, 20.0, 20.0]",26
28,7,6,"[21.0, 11.0, 10.0, 37.0, 21.0]",37
29,4,4,"[23.0, 24.0, 19.0, 17.0, 17.0]",24
30,6,5,"[25.0, 23.0, 27.0, 10.0, 15.0]",27
31,7,7,"[21.0, 20.0, 16.0, 17.0, 26.0]",26
32,6,6,"[8.0, 20.0, 23.0, 38.0, 11.0]",38
33,6,4,"[15.0, 32.0, 10.0, 25.0, 18.0]",32
34,2,2,"[26.0, 21.0, 16.0, 16.0, 21.0]",26
35,2,2,"[25.0, 23.0, 18.0, 16.0, 18.0]",25
36,7,6,"[18.0, 17.0, 19.0, 29.0, 17.0]",29
37,2,2,"[27.0, 19.0, 19.0, 14.0, 21.0]",27
38,6,2,"[23.0, 22.0, 18.0, 23.0, 14.0]",23
39,2,4,"[23.0, 24.0, 22.0, 18.0, 13.0]",24
40,7,4,"[14.0, 25.0, 25.0, 20.0, 16.0]",25
41,2,2,"[30.0, 24.0, 20.0, 9.0, 17.0]",30
42,5,2,"[30.0, 19.0, 16.0, 12.0, 23.0]",30
43,2,2,"[28.0, 21.0, 20.0, 18.0, 13.0]",28
44,7,2,"[34.0, 15.0, 20.0, 23.0, 8.0]",34
45,6,6,"[24.0, 16.0, 15.0, 30.0, 15.0]",30
46,4,2,"[22.0, 22.0, 22.0, 19.0, 15.0]",22
