,true_label,predicted_label,predict_vote,max_count
0,6,6,"[21.0, 21.0, 19.0, 24.0, 15.0]",24
1,6,4,"[17.0, 25.0, 22.0, 25.0, 11.0]",25
2,6,2,"[24.0, 19.0, 17.0, 23.0, 17.0]",24
3,5,4,"[23.0, 29.0, 12.0, 25.0, 11.0]",29
4,7,6,"[22.0, 10.0, 12.0, 43.0, 13.0]",43
5,5,2,"[26.0, 21.0, 22.0, 23.0, 8.0]",26
6,7,6,"[22.0, 16.0, 20.0, 24.0, 18.0]",24
7,6,6,"[26.0, 14.0, 17.0, 32.0, 11.0]",32
8,7,5,"[21.0, 16.0, 26.0, 12.0, 25.0]",26
9,4,4,"[19.0, 27.0, 12.0, 23.0, 19.0]",27
10,5,4,"[28.0, 29.0, 14.0, 17.0, 12.0]",29
11,2,6,"[24.0, 20.0, 8.0, 33.0, 15.0]",33
12,4,4,"[16.0, 32.0, 9.0, 29.0, 14.0]",32
13,6,6,"[19.0, 17.0, 16.0, 25.0, 23.0]",25
14,6,2,"[33.0, 20.0, 15.0, 16.0, 16.0]",33
15,5,2,"[27.0, 25.0, 9.0, 25.0, 14.0]",27
16,4,2,"[27.0, 12.0, 21.0, 26.0, 14.0]",27
17,5,2,"[23.0, 18.0, 16.0, 22.0, 21.0]",23
18,2,6,"[16.0, 19.0, 17.0, 40.0, 8.0]",40
19,4,2,"[33.0, 25.0, 11.0, 14.0, 17.0]",33
20,5,6,"[22.0, 17.0, 21.0, 29.0, 11.0]",29
21,4,7,"[25.0, 18.0, 14.0, 16.0, 27.0]",27
22,6,2,"[29.0, 13.0, 17.0, 24.0, 17.0]",29
23,5,2,"[29.0, 21.0, 21.0, 22.0, 7.0]",29
24,6,4,"[21.0, 22.0, 17.0, 21.0, 19.0]",22
25,7,6,"[19.0, 23.0, 17.0, 25.0, 16.0]",25
26,6,4,"[16.0, 29.0, 13.0, 24.0, 18.0]",29
27,7,6,"[18.0, 20.0, 19.0, 26.0, 17.0]",26
28,7,6,"[20.0, 11.0, 14.0, 53.0, 2.0]",53
29,4,2,"[26.0, 24.0, 15.0, 17.0, 18.0]",26
30,6,4,"[18.0, 26.0, 21.0, 19.0, 16.0]",26
31,7,2,"[30.0, 19.0, 19.0, 20.0, 12.0]",30
32,6,6,"[19.0, 21.0, 9.0, 35.0, 16.0]",35
33,6,2,"[22.0, 20.0, 17.0, 21.0, 20.0]",22
34,2,6,"[22.0, 13.0, 17.0, 32.0, 16.0]",32
35,2,2,"[27.0, 22.0, 16.0, 24.0, 11.0]",27
36,7,6,"[23.0, 17.0, 16.0, 27.0, 17.0]",27
37,2,6,"[24.0, 20.0, 7.0, 32.0, 17.0]",32
38,6,6,"[17.0, 21.0, 20.0, 32.0, 10.0]",32
39,2,4,"[23.0, 27.0, 12.0, 24.0, 14.0]",27
40,7,4,"[26.0, 27.0, 13.0, 19.0, 15.0]",27
41,2,4,"[29.0, 32.0, 12.0, 7.0, 20.0]",32
42,5,7,"[19.0, 22.0, 18.0, 11.0, 30.0]",30
43,2,5,"[20.0, 21.0, 28.0, 8.0, 23.0]",28
44,7,2,"[30.0, 23.0, 21.0, 16.0, 10.0]",30
45,6,2,"[31.0, 24.0, 8.0, 17.0, 20.0]",31
46,4,6,"[15.0, 24.0, 18.0, 34.0, 9.0]",34
47,6,6,"[24.0, 20.0, 17.0, 25.0, 14.0]",25
48,6,6,"[14.0, 20.0, 21.0, 25.0, 20.0]",25
49,7,2,"[28.0, 17.0, 11.0, 24.0, 20.0]",28
50,4,2,"[23.0, 23.0, 12.0, 22.0, 20.0]",23
51,5,2,"[29.0, 24.0, 14.0, 21.0, 12.0]",29
52,6,6,"[21.0, 10.0, 19.0, 43.0, 7.0]",43
53,6,6,"[22.0, 13.0, 27.0, 31.0, 7.0]",31
54,7,5,"[11.0, 13.0, 34.0, 23.0, 19.0]",34
55,4,6,"[25.0, 20.0, 12.0, 28.0, 15.0]",28
56,6,6,"[17.0, 18.0, 14.0, 30.0, 21.0]",30
57,2,2,"[32.0, 12.0, 17.0, 25.0, 14.0]",32
58,4,6,"[18.0, 18.0, 23.0, 26.0, 15.0]",26
59,2,2,"[27.0, 20.0, 12.0, 18.0, 23.0]",27
60,7,4,"[15.0, 29.0, 20.0, 24.0, 12.0]",29
61,2,7,"[19.0, 19.0, 17.0, 15.0, 30.0]",30
62,5,4,"[18.0, 31.0, 20.0, 6.0, 25.0]",31
63,2,6,"[20.0, 21.0, 7.0, 47.0, 5.0]",47
64,4,2,"[27.0, 26.0, 16.0, 19.0, 12.0]",27
65,2,6,"[19.0, 20.0, 17.0, 34.0, 10.0]",34
66,7,6,"[21.0, 23.0, 15.0, 29.0, 12.0]",29
67,2,2,"[26.0, 22.0, 18.0, 24.0, 10.0]",26
68,6,4,"[18.0, 26.0, 23.0, 23.0, 10.0]",26
69,5,6,"[12.0, 20.0, 27.0, 32.0, 9.0]",32
70,6,6,"[15.0, 18.0, 20.0, 26.0, 21.0]",26
71,7,4,"[25.0, 33.0, 13.0, 16.0, 13.0]",33
72,6,6,"[20.0, 14.0, 21.0, 33.0, 12.0]",33
73,2,5,"[20.0, 16.0, 38.0, 19.0, 7.0]",38
74,5,4,"[14.0, 30.0, 18.0, 29.0, 9.0]",30
75,2,6,"[20.0, 18.0, 17.0, 38.0, 7.0]",38
76,6,6,"[22.0, 24.0, 11.0, 29.0, 14.0]",29
