,true_label,predicted_label,predict_vote,max_count
0,6,5,"[14.0, 20.0, 34.0, 19.0, 13.0]",34
1,6,2,"[24.0, 20.0, 15.0, 22.0, 19.0]",24
2,6,6,"[13.0, 19.0, 19.0, 29.0, 20.0]",29
3,5,5,"[16.0, 6.0, 33.0, 23.0, 22.0]",33
4,7,6,"[25.0, 14.0, 15.0, 27.0, 19.0]",27
5,5,5,"[14.0, 16.0, 30.0, 16.0, 24.0]",30
6,7,5,"[16.0, 19.0, 24.0, 17.0, 24.0]",24
7,6,5,"[14.0, 17.0, 29.0, 21.0, 19.0]",29
8,7,7,"[23.0, 16.0, 23.0, 11.0, 27.0]",27
9,4,4,"[23.0, 26.0, 21.0, 13.0, 17.0]",26
10,5,2,"[26.0, 25.0, 14.0, 11.0, 24.0]",26
11,2,2,"[23.0, 19.0, 20.0, 21.0, 17.0]",23
12,4,4,"[19.0, 26.0, 18.0, 19.0, 18.0]",26
13,6,5,"[16.0, 19.0, 25.0, 23.0, 17.0]",25
14,6,2,"[28.0, 10.0, 23.0, 19.0, 20.0]",28
15,5,2,"[26.0, 16.0, 25.0, 10.0, 23.0]",26
16,4,5,"[21.0, 20.0, 25.0, 14.0, 20.0]",25
17,5,2,"[26.0, 17.0, 17.0, 20.0, 20.0]",26
18,2,4,"[21.0, 22.0, 18.0, 18.0, 21.0]",22
19,4,2,"[22.0, 21.0, 20.0, 15.0, 22.0]",22
20,5,5,"[21.0, 11.0, 34.0, 19.0, 15.0]",34
21,4,2,"[26.0, 19.0, 17.0, 14.0, 24.0]",26
22,6,2,"[23.0, 20.0, 13.0, 23.0, 21.0]",23
23,5,5,"[17.0, 18.0, 26.0, 14.0, 25.0]",26
24,6,4,"[18.0, 24.0, 20.0, 18.0, 20.0]",24
25,7,5,"[19.0, 26.0, 28.0, 7.0, 20.0]",28
26,6,7,"[21.0, 18.0, 15.0, 17.0, 29.0]",29
27,7,5,"[16.0, 20.0, 27.0, 11.0, 26.0]",27
28,7,2,"[28.0, 12.0, 24.0, 21.0, 15.0]",28
29,4,2,"[28.0, 18.0, 28.0, 9.0, 17.0]",28
30,6,2,"[25.0, 21.0, 22.0, 11.0, 21.0]",25
31,7,5,"[18.0, 15.0, 31.0, 15.0, 21.0]",31
32,6,6,"[14.0, 15.0, 21.0, 31.0, 19.0]",31
33,6,6,"[16.0, 22.0, 15.0, 26.0, 21.0]",26
34,2,6,"[22.0, 17.0, 19.0, 26.0, 16.0]",26
35,2,2,"[28.0, 18.0, 22.0, 13.0, 19.0]",28
36,7,6,"[20.0, 22.0, 15.0, 31.0, 12.0]",31
37,2,2,"[28.0, 27.0, 11.0, 16.0, 18.0]",28
38,6,5,"[13.0, 22.0, 27.0, 23.0, 15.0]",27
39,2,2,"[31.0, 12.0, 28.0, 10.0, 19.0]",31
