,true_label,predicted_label,predict_vote,max_count
0,6,2,"[26.0, 20.0, 23.0, 22.0, 9.0]",26
1,6,4,"[22.0, 30.0, 20.0, 16.0, 12.0]",30
2,6,2,"[26.0, 20.0, 19.0, 21.0, 14.0]",26
3,5,7,"[22.0, 22.0, 11.0, 21.0, 24.0]",24
4,7,6,"[16.0, 7.0, 28.0, 30.0, 19.0]",30
5,5,5,"[18.0, 16.0, 25.0, 20.0, 21.0]",25
6,7,7,"[27.0, 16.0, 18.0, 11.0, 28.0]",28
7,6,7,"[19.0, 18.0, 21.0, 18.0, 24.0]",24
8,7,2,"[30.0, 13.0, 11.0, 22.0, 24.0]",30
9,4,2,"[23.0, 21.0, 23.0, 18.0, 15.0]",23
10,5,2,"[25.0, 21.0, 18.0, 20.0, 16.0]",25
11,2,5,"[23.0, 14.0, 24.0, 24.0, 15.0]",24
12,4,7,"[19.0, 23.0, 17.0, 15.0, 26.0]",26
13,6,6,"[21.0, 15.0, 20.0, 31.0, 13.0]",31
14,6,4,"[19.0, 29.0, 24.0, 13.0, 15.0]",29
15,5,2,"[24.0, 24.0, 17.0, 15.0, 20.0]",24
16,4,4,"[19.0, 31.0, 13.0, 22.0, 15.0]",31
17,5,2,"[26.0, 17.0, 20.0, 21.0, 16.0]",26
18,2,2,"[25.0, 17.0, 21.0, 17.0, 20.0]",25
19,4,4,"[24.0, 25.0, 10.0, 22.0, 19.0]",25
20,5,7,"[21.0, 18.0, 20.0, 16.0, 25.0]",25
21,4,4,"[23.0, 30.0, 12.0, 16.0, 19.0]",30
22,6,2,"[24.0, 17.0, 20.0, 20.0, 19.0]",24
23,5,2,"[27.0, 19.0, 15.0, 14.0, 25.0]",27
24,6,5,"[17.0, 18.0, 25.0, 16.0, 24.0]",25
25,7,4,"[20.0, 30.0, 16.0, 21.0, 13.0]",30
26,6,6,"[18.0, 17.0, 19.0, 29.0, 17.0]",29
27,7,2,"[23.0, 17.0, 19.0, 22.0, 19.0]",23
28,7,6,"[24.0, 16.0, 18.0, 28.0, 14.0]",28
29,4,2,"[26.0, 23.0, 21.0, 17.0, 13.0]",26
30,6,2,"[27.0, 23.0, 19.0, 15.0, 16.0]",27
31,7,2,"[36.0, 18.0, 17.0, 15.0, 14.0]",36
32,6,6,"[12.0, 16.0, 19.0, 32.0, 21.0]",32
33,6,7,"[20.0, 19.0, 19.0, 20.0, 22.0]",22
34,2,6,"[26.0, 16.0, 17.0, 29.0, 12.0]",29
35,2,2,"[24.0, 23.0, 14.0, 22.0, 17.0]",24
36,7,6,"[23.0, 21.0, 14.0, 24.0, 18.0]",24
37,2,2,"[27.0, 27.0, 19.0, 14.0, 13.0]",27
38,6,6,"[17.0, 17.0, 21.0, 28.0, 17.0]",28
39,2,4,"[22.0, 36.0, 12.0, 15.0, 15.0]",36
40,7,2,"[26.0, 18.0, 22.0, 11.0, 23.0]",26
41,2,2,"[35.0, 23.0, 11.0, 10.0, 21.0]",35
42,5,2,"[24.0, 15.0, 22.0, 16.0, 23.0]",24
43,2,4,"[23.0, 25.0, 18.0, 14.0, 20.0]",25
44,7,2,"[33.0, 22.0, 15.0, 14.0, 16.0]",33
45,6,2,"[29.0, 19.0, 22.0, 18.0, 12.0]",29
46,4,4,"[18.0, 29.0, 10.0, 21.0, 22.0]",29
47,6,6,"[21.0, 18.0, 17.0, 25.0, 19.0]",25
48,6,2,"[29.0, 20.0, 12.0, 20.0, 19.0]",29
49,7,5,"[20.0, 22.0, 23.0, 16.0, 19.0]",23
50,4,4,"[23.0, 25.0, 17.0, 22.0, 13.0]",25
51,5,2,"[26.0, 23.0, 18.0, 17.0, 16.0]",26
52,6,5,"[23.0, 9.0, 28.0, 28.0, 12.0]",28
53,6,6,"[26.0, 15.0, 20.0, 27.0, 12.0]",27
54,7,5,"[16.0, 5.0, 41.0, 15.0, 23.0]",41
55,4,6,"[23.0, 21.0, 17.0, 29.0, 10.0]",29
56,6,2,"[28.0, 20.0, 22.0, 16.0, 14.0]",28
57,2,2,"[24.0, 23.0, 21.0, 22.0, 10.0]",24
58,4,6,"[20.0, 11.0, 20.0, 30.0, 19.0]",30
59,2,5,"[19.0, 21.0, 24.0, 18.0, 18.0]",24
60,7,4,"[17.0, 27.0, 17.0, 23.0, 16.0]",27
61,2,5,"[17.0, 21.0, 29.0, 10.0, 23.0]",29
62,5,7,"[18.0, 23.0, 23.0, 10.0, 26.0]",26
63,2,7,"[26.0, 17.0, 13.0, 17.0, 27.0]",27
64,4,4,"[26.0, 30.0, 19.0, 8.0, 17.0]",30
65,2,4,"[24.0, 27.0, 16.0, 16.0, 17.0]",27
66,7,2,"[27.0, 21.0, 18.0, 18.0, 16.0]",27
67,2,2,"[30.0, 22.0, 17.0, 18.0, 13.0]",30
68,6,4,"[17.0, 28.0, 14.0, 21.0, 20.0]",28
69,5,2,"[29.0, 13.0, 28.0, 16.0, 14.0]",29
70,6,2,"[33.0, 21.0, 15.0, 21.0, 10.0]",33
71,7,7,"[18.0, 22.0, 8.0, 9.0, 43.0]",43
72,6,2,"[26.0, 17.0, 17.0, 23.0, 17.0]",26
73,2,5,"[19.0, 11.0, 33.0, 16.0, 21.0]",33
74,5,5,"[15.0, 17.0, 32.0, 24.0, 12.0]",32
75,2,6,"[19.0, 14.0, 22.0, 28.0, 17.0]",28
76,6,4,"[17.0, 24.0, 19.0, 22.0, 18.0]",24
77,5,5,"[15.0, 22.0, 27.0, 20.0, 16.0]",27
78,2,5,"[23.0, 21.0, 26.0, 14.0, 16.0]",26
79,5,4,"[19.0, 26.0, 20.0, 21.0, 14.0]",26
80,4,2,"[26.0, 23.0, 15.0, 25.0, 11.0]",26
81,2,2,"[27.0, 23.0, 21.0, 8.0, 21.0]",27
82,6,2,"[24.0, 24.0, 11.0, 22.0, 19.0]",24
83,6,2,"[32.0, 24.0, 17.0, 17.0, 10.0]",32
84,4,2,"[28.0, 22.0, 20.0, 9.0, 21.0]",28
85,4,4,"[24.0, 25.0, 18.0, 21.0, 12.0]",25
86,5,6,"[20.0, 22.0, 15.0, 25.0, 18.0]",25
87,7,2,"[26.0, 19.0, 15.0, 21.0, 19.0]",26
88,5,5,"[24.0, 22.0, 25.0, 16.0, 13.0]",25
89,5,2,"[24.0, 24.0, 17.0, 18.0, 17.0]",24
90,2,4,"[22.0, 25.0, 17.0, 17.0, 19.0]",25
91,2,6,"[23.0, 18.0, 13.0, 27.0, 19.0]",27
92,6,2,"[32.0, 12.0, 16.0, 24.0, 16.0]",32
93,4,2,"[29.0, 27.0, 20.0, 17.0, 7.0]",29
94,5,2,"[25.0, 23.0, 19.0, 18.0, 15.0]",25
95,7,2,"[26.0, 20.0, 11.0, 24.0, 19.0]",26
96,2,7,"[19.0, 21.0, 17.0, 18.0, 25.0]",25
97,7,7,"[20.0, 12.0, 30.0, 7.0, 31.0]",31
98,5,2,"[27.0, 15.0, 21.0, 17.0, 20.0]",27
99,7,2,"[28.0, 15.0, 18.0, 11.0, 28.0]",28
100,5,2,"[32.0, 16.0, 28.0, 14.0, 10.0]",32
101,7,4,"[24.0, 27.0, 8.0, 18.0, 23.0]",27
102,7,2,"[25.0, 22.0, 13.0, 19.0, 21.0]",25
103,4,2,"[26.0, 17.0, 19.0, 22.0, 16.0]",26
104,5,2,"[47.0, 24.0, 11.0, 9.0, 9.0]",47
105,7,2,"[25.0, 24.0, 13.0, 19.0, 19.0]",25
106,2,2,"[26.0, 26.0, 19.0, 15.0, 14.0]",26
107,7,7,"[23.0, 20.0, 21.0, 10.0, 26.0]",26
108,6,2,"[23.0, 23.0, 19.0, 17.0, 18.0]",23
109,4,6,"[17.0, 11.0, 23.0, 29.0, 20.0]",29
110,6,6,"[21.0, 22.0, 17.0, 25.0, 15.0]",25
111,4,2,"[29.0, 23.0, 19.0, 15.0, 14.0]",29
112,7,2,"[27.0, 15.0, 22.0, 24.0, 12.0]",27
113,6,7,"[16.0, 20.0, 19.0, 12.0, 33.0]",33
114,5,5,"[18.0, 16.0, 33.0, 16.0, 17.0]",33
115,5,5,"[24.0, 17.0, 26.0, 12.0, 21.0]",26
116,4,4,"[22.0, 24.0, 23.0, 14.0, 17.0]",24
117,5,7,"[24.0, 20.0, 14.0, 10.0, 32.0]",32
118,5,2,"[26.0, 22.0, 18.0, 18.0, 16.0]",26
119,2,6,"[19.0, 17.0, 17.0, 26.0, 21.0]",26
120,2,5,"[20.0, 23.0, 27.0, 14.0, 16.0]",27
121,5,2,"[24.0, 19.0, 17.0, 19.0, 21.0]",24
122,4,4,"[25.0, 30.0, 11.0, 15.0, 19.0]",30
123,5,7,"[21.0, 21.0, 18.0, 14.0, 26.0]",26
124,7,2,"[29.0, 15.0, 19.0, 18.0, 19.0]",29
125,2,2,"[31.0, 17.0, 24.0, 16.0, 12.0]",31
126,4,4,"[15.0, 29.0, 24.0, 21.0, 11.0]",29
127,7,5,"[18.0, 16.0, 24.0, 19.0, 23.0]",24
128,2,2,"[23.0, 18.0, 21.0, 23.0, 15.0]",23
129,6,2,"[31.0, 17.0, 19.0, 18.0, 15.0]",31
130,5,4,"[21.0, 30.0, 22.0, 13.0, 14.0]",30
131,4,4,"[16.0, 23.0, 22.0, 17.0, 22.0]",23
132,6,6,"[24.0, 22.0, 15.0, 27.0, 12.0]",27
133,7,7,"[20.0, 23.0, 21.0, 8.0, 28.0]",28
134,2,6,"[20.0, 26.0, 19.0, 27.0, 8.0]",27
135,6,2,"[28.0, 23.0, 15.0, 17.0, 17.0]",28
136,4,4,"[19.0, 32.0, 18.0, 21.0, 10.0]",32
137,6,4,"[18.0, 25.0, 20.0, 22.0, 15.0]",25
138,6,6,"[21.0, 23.0, 15.0, 24.0, 17.0]",24
139,6,4,"[13.0, 28.0, 17.0, 24.0, 18.0]",28
